,train_loss,test_loss
0,0.8626247738175989,0.83868164621341
1,0.48906970748206235,0.22842810791768844
2,0.22509198763486368,0.22473715767738925
3,0.2232514655841586,0.22312694161560884
4,0.22164776646877493,0.222036990865021
5,0.2209087898740378,0.22140991194233015
6,0.22023841106068448,0.22080600593879723
7,0.21965416412219366,0.22018398790602473
8,0.21901344749933618,0.2195522805118257
9,0.2184641593900483,0.2191208344735917
10,0.2179263548168075,0.21854794357612634
11,0.21742639837362576,0.2182685207978935
12,0.21703759538929177,0.21769382648027627
13,0.21662571570833625,0.21733490629180982
14,0.21628346357046796,0.2170544704244395
15,0.21592900092187134,0.216730804200385
16,0.21559015202247883,0.21654810020878057
17,0.2153009781447213,0.21626305741489313
18,0.215008748538049,0.21592461256084927
19,0.21472991017810525,0.21568486616489993
