,train_loss,test_loss
0,0.023132825063069917,0.0149621864555368
1,0.014458405296973256,0.013953518312258325
2,0.01363896695501588,0.013239983350608
3,0.013094759951143162,0.012759881123758046
4,0.012700732337677722,0.012512917387162804
5,0.012408152149985438,0.012151787158362804
6,0.012158849885177505,0.011971042153372127
7,0.012004720092372363,0.012076191337197829
8,0.011873034883023756,0.011774612970318005
9,0.011744377171130055,0.01160418016207256
10,0.011627553996708615,0.011738596549316955
11,0.011561467289648322,0.01139667941625141
12,0.011472707127204256,0.0113442930375125
13,0.011405482858448002,0.011364226478632469
14,0.011351284219661867,0.011222899232985108
15,0.011301217045720733,0.011249926320876286
16,0.01126036565760365,0.011175258909678383
17,0.01121788591032138,0.011109685804101693
18,0.011171892594993876,0.011069870779326387
19,0.011134447264330237,0.011070539510458898
